model,dataset,prompt_type,config_n,config_k,accuracy,n_trials
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,3,5,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,4,1,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,axioms_ontology_v2,4,5,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,classification,2,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,classification,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,classification,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,classification,3,5,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,classification,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,classification,4,5,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,features,2,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,features,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,features,3,1,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,features,3,5,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,features,4,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,features,4,5,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,nle,2,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,nle,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,nle,3,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,nle,3,5,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,nle,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,dtd,nle,4,5,0.75,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,2,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,2,5,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,3,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,3,5,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,4,1,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,dtd,rulebased,4,5,0.75,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,3,1,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,flowers,axioms_ontology_v2,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,3,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,classification,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,3,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,features,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,3,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,nle,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,3,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,4,1,1.0,12
qwen/qwen3-vl-8b-instruct,flowers,rulebased,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,3,1,0.75,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,4,1,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,pets,axioms_ontology_v2,4,5,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,pets,classification,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,pets,classification,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,classification,3,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,pets,classification,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,classification,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,pets,classification,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,features,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,pets,features,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,features,3,1,0.75,12
qwen/qwen3-vl-8b-instruct,pets,features,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,features,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,pets,features,4,5,0.9166666666666666,12
qwen/qwen3-vl-8b-instruct,pets,nle,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,pets,nle,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,nle,3,1,0.6666666666666666,12
qwen/qwen3-vl-8b-instruct,pets,nle,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,nle,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,pets,nle,4,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,2,1,1.0,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,2,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,3,1,0.5833333333333334,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,3,5,1.0,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,4,1,0.8333333333333334,12
qwen/qwen3-vl-8b-instruct,pets,rulebased,4,5,0.9166666666666666,12
